"得意先コード","得意先名","部門コード","部門名","商品コード","商品名","仕様・規格","単位","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108066","六角ナット M8 SUS","","","360","360","288","24.0000","24.0000","2","72","20"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108067","ボルト M8 x 40mm(ステンレス六角ボルト)","","","1020","1020","720","12.0000","12.0000","1","300","29.4"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108069","銅バインド 1.6㎜","","","55380","55380","39560","1.0000","1.0000","1","15820","28.6"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108070","エフコテープ2号","","","4600","4600","3300","10.0000","10.0000","1","1300","28.3"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","9999","出精値引き","","式","-5180","-5180","0","1.0000","1.0000","1","-5180","100"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","99999","金額一式","","式","64700","64700","24420","1.0000","1.0000","1","40280","62.3"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","E-00079633","RA3R油6KV 3P3W 30KVA 50Hz SV210V Y-Y(A)","","個","6692280","6692280","4147990","14.0000","14.0000","2","2544290","38"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","E-00079637","RA3R油6KV 3P3W 50KVA 50Hz SV210V Y-Y(A)","","個","567300","567300","361580","1.0000","1.0000","1","205720","36.3"
"EJR0026","東日本旅客鉄道株式会社　新宿電力設備技術センター","DNK-E","電力機器事業部","E-00099488","CV-1R PV6.6KV 1P3W 300KVA 50Hz SV210/105V","","台","7328400","7328400","3391440","2.0000","2.0000","1","3936960","53.7"
"EJR0026","東日本旅客鉄道株式会社　新宿電力設備技術センター","DNK-E","電力機器事業部","E-00099535","CV-3R PV6.6KV 3P3W 300KVA 50Hz SV210V Y-Δ","5タップ","台","7942200","7942200","3566620","2.0000","2.0000","1","4375580","55.1"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098545","SF-PRFO 3.7KW 4P 200V 50/60Hz 屋外・フランジ（横置）(B)","","台","84980","84980","78610","1.0000","1.0000","1","6370","7.5"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00100920","SF-PRO 18.5KW 6P 400/400/440/460V 50/60Hz 屋外・脚取付","","","407740","407740","326190","1.0000","1.0000","1","81550","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00101043","SF-PRFO 0.4KW 4P　200V 50/60Hz 屋外・フランジ（横置）","","台","165620","165620","132500","4.0000","4.0000","2","33120","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00101539","IKH3-FCKLAW21E 1.5KW 4P 200V","東芝 フランジ,屋外","台","130000","130000","100000","1.0000","1.0000","1","30000","23.1"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00102060","SF-PRO 7.5KW 6P 400V/400/440/460V 50/60/60Hz  屋外 脚付（B）","","台","414000","414000","331180","2.0000","2.0000","1","82820","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00107972","SF-PRO 7.5KW用外扇カバー部品番号：K11M73815501","","台","5710","5710","5190","1.0000","1.0000","1","520","9.1"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-99999999","送料","","式","1360","1360","1230","1.0000","1.0000","1","130","9.6"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","9999","出精値引き","","式","-824950","-824950","0","4.0000","4.0000","4","-824950","100"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","99999","金額一式","","式","1396750","1396750","427540","6.0000","6.0000","6","969210","69.4"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","E-00023169","NV125-CV 3P 75A 1/2/500mA換 (A)","","個","45100","45100","7850","1.0000","1.0000","1","37250","82.6"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","E-00023457","NV63-CV 3P 20A 1/2/500mA換(A)","","個","55400","55400","9740","2.0000","2.0000","1","45660","82.4"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","E-00023469","NV63-CV 3P 50A 1/2/500mA換(A)","","個","27700","27700","4870","1.0000","1.0000","1","22830","82.4"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","E-00056005","TCL-05SV3 (A)","","個","2970","2970","780","3.0000","3.0000","2","2190","73.7"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","E-00098452","M2PM-R 1P3W 100V 120A 50Hz 検定付","","台","36740","36740","11150","1.0000","1.0000","1","25590","69.7"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","E-00098691","TCL-1SV3（A）","","個","1320","1320","340","1.0000","1.0000","1","980","74.2"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","E-00098881","M2PM-S34VR 3P3W 200V 200/5A 50Hz 10kwh/pulse 検付 CW-15LS200/5A*2 (U)","","個","994530","994530","312260","42.0000","42.0000","6","682270","68.6"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","E-00099398","M8FM-S1R 1P3W 100V 120A 60Hz 検定付(U)","","台","122480","122480","42380","2.0000","2.0000","1","80100","65.4"
"EOT0016","協同電気","DNK-E","電力機器事業部","E-00025692","NV63-SV 3P 15A 30mA (U)","","個","4800","4800","4370","1.0000","1.0000","1","430","9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","99999","金額一式","","式","31331490","31331490","18929125","49.0000","49.0000","30","12402365","39.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000273","NF125-ZHV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","84700","84700","68480","2.0000","2.0000","1","16220","19.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000285","NF125-ZSV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","93680","93680","76060","2.0000","2.0000","2","17620","18.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000301","NF125-ZHV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","49390","49390","40190","1.0000","1.0000","1","9200","18.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000341","NF250-ZHV 3P 150A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","67820","67820","55230","1.0000","1.0000","1","12590","18.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000361","NF250-ZSV 3P 200A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","63640","63640","53200","1.0000","1.0000","1","10440","16.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000365","NF250-ZSV 3P 225A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","63640","63640","53200","1.0000","1.0000","1","10440","16.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000405","NF250-ZHV 4P 125A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","77400","77400","62000","1.0000","1.0000","1","15400","19.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000437","NF400-ZSW 3P 300A AL AX ECA/SHTDC24Vﾘｰﾄﾞ 自動ﾘｾｯﾄ BPM(A)","","個","114560","114560","93400","1.0000","1.0000","1","21160","18.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000477","BAF-05SV (A)","","個","920","920","740","4.0000","4.0000","2","180","19.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000677","NF125-ZHV(125A) 3P (A)","","個","42230","42230","34040","1.0000","1.0000","1","8190","19.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","32940","32940","25083","27.0000","27.0000","13","7857","23.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","3660","3660","2766","3.0000","3.0000","2","894","24.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001001","NF30-FA 2P 10A (A)","","個","4880","4880","3716","4.0000","4.0000","2","1164","23.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001005","NF30-FA 2P 15A (A)","","個","14640","14640","11148","12.0000","12.0000","4","3492","23.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001677","CP30-BA 1P 1A I-M (A)","","個","54990","54990","40467","47.0000","47.0000","13","14523","26.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001685","CP30-BA 1P 2A I-M (A)","","個","2340","2340","1722","2.0000","2.0000","2","618","26.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001697","CP30-BA 1P 5A I-M (A)","","個","25740","25740","18942","22.0000","22.0000","1","6798","26.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001725","CP30-BA 1P 1A I-MD (A)","","個","80000","80000","60000","50.0000","50.0000","2","20000","25"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001773","CP30-BA 2P 10A I-M (A)","","個","5180","5180","3800","2.0000","2.0000","1","1380","26.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001901","CP30-BA 3P 3A I-M (A)","","個","170520","170520","125160","42.0000","42.0000","3","45360","26.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002217","BL-2C 2P2E 6A (A)","","個","134940","134940","99648","173.0000","173.0000","7","35292","26.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002517","NF32-SVF 2P 10A (A)","","個","16170","16170","12430","11.0000","11.0000","3","3740","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002521","NF32-SVF 2P 15A (A)","","個","11760","11760","9040","8.0000","8.0000","2","2720","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002537","NF32-SVF 2P 3A (A)","","個","1470","1470","1130","1.0000","1.0000","1","340","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002585","NF63-SVF 2P 15A (A)","","個","50920","50920","39140","19.0000","19.0000","5","11780","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002589","NF63-SVF 2P 20A (A)","","個","2680","2680","2060","1.0000","1.0000","1","620","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002601","NF63-SVF 2P 50A (A)","","個","5360","5360","4120","2.0000","2.0000","1","1240","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002661","NF125-SV 2P 15A (A)","","個","7120","7120","5460","1.0000","1.0000","1","1660","23.3"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002689","NF125-SV 3P 100A (A)","","個","26970","26970","20610","3.0000","3.0000","2","6360","23.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002697","NF125-SV 3P 15A (A)","","個","17980","17980","13740","2.0000","2.0000","2","4240","23.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002721","NF125-SV 3P 75A (A)","","個","8990","8990","6870","1.0000","1.0000","1","2120","23.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002785","NF32-SV 2P 5A (A)","","個","2940","2940","2260","2.0000","2.0000","1","680","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002821","NF63-SV 2P (5A) (A)","","個","5360","5360","4120","2.0000","2.0000","1","1240","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002869","NF63-SV 3P 15A (A)","","個","7260","7260","5580","2.0000","2.0000","2","1680","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002925","NF63-SV 4P 50A (A)","","個","21880","21880","16880","4.0000","4.0000","3","5000","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003129","NF63-HRV 3P 30A (A)","","個","62930","62930","48090","7.0000","7.0000","2","14840","23.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003137","NF63-HRV 3P 50A (A)","","個","17980","17980","13740","2.0000","2.0000","2","4240","23.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003145","NF63-HV 2P 15A (A)","","個","17500","17500","13450","5.0000","5.0000","3","4050","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003177","NF63-HV 3P 15A (A)","","個","4730","4730","3630","1.0000","1.0000","1","1100","23.3"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003357","NF125-SVF 2P 15A AL-SLT(A)","","個","45960","45960","35960","6.0000","6.0000","3","10000","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003913","NF125-SV 2P 15A AL(A)","","個","8000","8000","6230","1.0000","1.0000","1","1770","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003921","NF125-SV 2P 30A AL(A)","","個","16000","16000","12460","2.0000","2.0000","1","3540","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003929","NF125-SV 2P 50A AL(A)","","個","16000","16000","12460","2.0000","2.0000","2","3540","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003953","NF125-SV 3P 20A AL(A)","","個","29670","29670","22920","3.0000","3.0000","2","6750","22.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003957","NF125-SV 3P 30A AL(A)","","個","69230","69230","53480","7.0000","7.0000","3","15750","22.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003965","NF125-SV 3P 50A AL(A)","","個","59340","59340","45840","6.0000","6.0000","3","13500","22.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004025","NF125-SV 2P 20A AL-SLT(A)","","個","8380","8380","6560","1.0000","1.0000","1","1820","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004049","NF125-SV 3P 100A AL-SLT(A)","","個","41120","41120","31880","4.0000","4.0000","1","9240","22.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004285","NF32-SV 2P 10A AL-SLT(A)","","個","8250","8250","6690","3.0000","3.0000","1","1560","18.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004369","NF32-SV 3P 10A AX-SLT(A)","","個","3340","3340","2670","1.0000","1.0000","1","670","20.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004449","NF63-SV 3P 15A AL(A)","","個","13590","13590","10680","3.0000","3.0000","1","2910","21.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004453","NF63-SV 3P 20A AL(A)","","個","67950","67950","53400","15.0000","15.0000","1","14550","21.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004457","NF63-SV 3P 30A AL(A)","","個","58890","58890","46280","13.0000","13.0000","1","12610","21.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004465","NF63-SV 3P 50A AL(A)","","個","40770","40770","32040","9.0000","9.0000","1","8730","21.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004533","NF63-SV 2P 20A AL-SLT(A)","","個","55440","55440","44240","14.0000","14.0000","1","11200","20.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004537","NF63-SV 2P 30A AL-SLT(A)","","個","3960","3960","3160","1.0000","1.0000","1","800","20.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004585","NF63-SV 3P 50A AL-SLT(A)","","個","4900","4900","3890","1.0000","1.0000","1","1010","20.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005301","NF63-HV 2P 15A AL-SLT(A)","","個","37440","37440","29610","9.0000","9.0000","1","7830","20.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005489","NF250-SEV 3P 125-250A調 (A)","","個","50200","50200","38520","2.0000","2.0000","2","11680","23.3"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005537","NF250-SV 3P 175A (A)","","個","49980","49980","38490","3.0000","3.0000","2","11490","23"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005541","NF250-SV 3P 200A (A)","","個","83300","83300","64150","5.0000","5.0000","3","19150","23"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005545","NF250-SV 3P 225A (A)","","個","133280","133280","102640","8.0000","8.0000","3","30640","23"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005557","NF250-SV 4P 125A (A)","","個","25000","25000","19200","1.0000","1.0000","1","5800","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005669","NF250-SEV 3P 125-250A調 AL-SLT(A)","","個","105520","105520","81440","4.0000","4.0000","2","24080","22.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006201","NF400-SEW 3P 200A調 (A)","","個","121950","121950","93630","3.0000","3.0000","1","28320","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006361","NF1250-SEW 3P 1200A調 (A)","","個","431020","431020","331400","2.0000","2.0000","2","99620","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006565","NF1600-SEW 3P 1400A調 (A)","","個","281610","281610","216290","1.0000","1.0000","1","65320","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006829","NF400-SEW 3P 250A調 AL-SLT(A)","","個","73460","73460","56640","2.0000","2.0000","1","16820","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006833","NF400-SEW 3P 300A調 AL-SLT(A)","","個","36730","36730","28320","1.0000","1.0000","1","8410","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007213","NF630-SEW 3P 400A調 AL-SLT(A)","","個","145460","145460","111380","2.0000","2.0000","1","34080","23.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007217","NF630-SEW 3P 500A調 AL-SLT(A)","","個","438770","438770","336930","5.0000","5.0000","3","101840","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007221","NF630-SEW 3P 600A調 AL-SLT(A)","","個","72370","72370","55690","1.0000","1.0000","1","16680","23"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007349","NF630-SW 3P 500A AX-SLT(A)","","個","150460","150460","116040","2.0000","2.0000","1","34420","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007589","NF125-CVF 3P 75A (A)","","個","18480","18480","14250","3.0000","3.0000","1","4230","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007605","NF63-CVF 2P 10A (A)","","個","6120","6120","4680","3.0000","3.0000","1","1440","23.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007609","NF63-CVF 2P 15A (A)","","個","14280","14280","10920","7.0000","7.0000","2","3360","23.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007617","NF63-CVF 2P 30A (A)","","個","4080","4080","3120","2.0000","2.0000","1","960","23.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007653","NF63-CVF 3P 20A (A)","","個","80040","80040","61480","29.0000","29.0000","4","18560","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007657","NF63-CVF 3P 30A (A)","","個","22080","22080","16960","8.0000","8.0000","2","5120","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007665","NF63-CVF 3P 50A (A)","","個","2760","2760","2120","1.0000","1.0000","1","640","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007693","NF125-CV 2P 75A (A)","","個","21200","21200","16350","5.0000","5.0000","4","4850","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007697","NF125-CV 3P (50A) (A)","","個","12320","12320","9500","2.0000","2.0000","2","2820","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007701","NF125-CV 3P 100A (A)","","個","412720","412720","318250","67.0000","67.0000","24","94470","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007705","NF125-CV 3P 125A (A)","","個","48300","48300","37000","5.0000","5.0000","4","11300","23.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007709","NF125-CV 3P 60A (A)","","個","38190","38190","29450","6.0000","6.0000","4","8740","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007712","NF125-CV 3P 60A (U)","","個","6160","6160","3560","1.0000","1.0000","1","2600","42.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007713","NF125-CV 3P 75A (A)","","個","248250","248250","191420","40.0000","40.0000","22","56830","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007745","NF250-CV 3P (100A) (A)","","個","24100","24100","18580","2.0000","2.0000","1","5520","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007749","NF250-CV 3P 125A (A)","","個","216900","216900","167220","18.0000","18.0000","7","49680","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007753","NF250-CV 3P 150A (A)","","個","132550","132550","102190","11.0000","11.0000","7","30360","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007761","NF250-CV 3P 200A (A)","","個","24100","24100","18580","2.0000","2.0000","2","5520","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007765","NF250-CV 3P 225A (A)","","個","156650","156650","120770","13.0000","13.0000","7","35880","22.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007833","NF63-CV 2P 15A (A)","","個","24480","24480","18720","12.0000","12.0000","4","5760","23.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007837","NF63-CV 2P 20A (A)","","個","38760","38760","29640","19.0000","19.0000","5","9120","23.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007841","NF63-CV 2P 30A (A)","","個","24480","24480","18720","12.0000","12.0000","3","5760","23.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007849","NF63-CV 2P 50A (A)","","個","12240","12240","9360","6.0000","6.0000","6","2880","23.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007877","NF63-CV 3P 20A (A)","","個","13800","13800","10600","5.0000","5.0000","4","3200","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007881","NF63-CV 3P 30A (A)","","個","16560","16560","12720","6.0000","6.0000","4","3840","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007885","NF63-CV 3P 40A (A)","","個","8280","8280","6360","3.0000","3.0000","3","1920","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007889","NF63-CV 3P 50A (A)","","個","85560","85560","65720","31.0000","31.0000","18","19840","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007897","NF63-CV 3P 60A (A)","","個","7060","7060","5420","2.0000","2.0000","2","1640","23.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007913","NF400-CW 2P 400A (A)","","個","52220","52220","40180","2.0000","2.0000","1","12040","23.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007917","NF400-CW 3P 250A (A)","","個","287460","287460","221130","9.0000","9.0000","4","66330","23.1"
