"得意先コード","得意先名","部門コード","部門名","商品コード","商品名","仕様・規格","単位","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098675","SF-PRFO 2.2KW 4P 200V 50/60Hz 屋外 フランジ横置(B)","","台","82380","82380","65900","2.0000","2.0000","2","16480","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098980","SF-PRFO 5.5KW 4P 200V 50/60Hz 屋外・フランジ(横置) (B)","","台","85390","85390","68310","1.0000","1.0000","1","17080","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00099036","FR-E840 7.5KW (B)","","台","192000","192000","138260","2.0000","2.0000","1","53740","28"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00099282","SF-PRFO 7.5KW 4P 400V 60Hz  （B)","屋外 ラグ式 フランジ形","台","248600","248600","187580","2.0000","2.0000","1","61020","24.5"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00099326","SF-PRO 5.5KW 6P 200V 60Hz 屋外・脚付(B)","","台","115090","115090","92070","1.0000","1.0000","1","23020","20"
"EOT0007","西山電気株式会社","DNK-E","電力機器事業部","99999","金額一式","","式","910000","910000","598000","1.0000","1.0000","1","312000","34.3"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","9999","出精値引き","","式","-332660","-332660","0","2.0000","2.0000","2","-332660","100"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","99999","金額一式","","式","7130","7130","0","1.0000","1.0000","1","7130","100"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000285","NF125-ZSV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","59700","59700","48700","2.0000","2.0000","1","11000","18.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000313","NF250-ZSV 3P 125A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","41970","41970","34280","1.0000","1.0000","1","7690","18.3"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000317","NF250-ZSV 3P 150A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","41970","41970","34280","1.0000","1.0000","1","7690","18.3"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000693","NF250-ZCV(250A) 3P (A)","","個","28510","28510","23270","1.0000","1.0000","1","5240","18.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000829","ZT30B (A)","","個","23980","23980","19580","11.0000","11.0000","7","4400","18.3"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000833","ZT40B (A)","","個","6800","6800","5540","2.0000","2.0000","2","1260","18.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000837","ZT60B (A)","","個","18740","18740","15260","2.0000","2.0000","2","3480","18.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","48760","48760","37842","53.0000","53.0000","27","10918","22.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","920","920","695","1.0000","1.0000","1","225","24.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001001","NF30-FA 2P 10A (A)","","個","1840","1840","1428","2.0000","2.0000","2","412","22.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001697","CP30-BA 1P 5A I-M (A)","","個","10680","10680","7968","12.0000","12.0000","4","2712","25.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00001789","CP30-BA 2P 2A I-M (A)","","個","1960","1960","1460","1.0000","1.0000","1","500","25.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002049","CP30-HU 2P 1A (A)","","個","4610","4610","3460","1.0000","1.0000","1","1150","24.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002217","BL-2C 2P2E 6A (A)","","個","1180","1180","888","2.0000","2.0000","2","292","24.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002253","AE1000-SW 3P 引出式(A)","","個","359500","359500","248550","1.0000","1.0000","1","110950","30.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002501","NF125-SVF 3P 50A (A)","","個","13600","13600","10620","2.0000","2.0000","1","2980","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002517","NF32-SVF 2P 10A (A)","","個","7770","7770","6083","7.0000","7.0000","5","1687","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002521","NF32-SVF 2P 15A (A)","","個","11100","11100","8690","10.0000","10.0000","5","2410","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002525","NF32-SVF 2P 20A (A)","","個","2220","2220","1738","2.0000","2.0000","1","482","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002541","NF32-SVF 2P 5A (A)","","個","1110","1110","869","1.0000","1.0000","1","241","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002581","NF63-SVF 2P 10A (A)","","個","2030","2030","1590","1.0000","1.0000","1","440","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002585","NF63-SVF 2P 15A (A)","","個","54810","54810","42930","27.0000","27.0000","6","11880","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002592","NF63-SVF 2P 20A (U)","","個","2030","2030","1550","1.0000","1.0000","1","480","23.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002625","NF63-SVF 3P 15A (A)","","個","2750","2750","2150","1.0000","1.0000","1","600","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002713","NF125-SV 3P 50A (A)","","個","13600","13600","10620","2.0000","2.0000","1","2980","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002725","NF125-SV 4P 100A (A)","","個","30480","30480","23820","3.0000","3.0000","1","6660","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002757","NF125-SV 4P 75A (A)","","個","10160","10160","7940","1.0000","1.0000","1","2220","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002817","NF63-SV 2P (3A) (A)","","個","2030","2030","1590","1.0000","1.0000","1","440","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002829","NF63-SV 2P 15A (A)","","個","38570","38570","30210","19.0000","19.0000","1","8360","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00002833","NF63-SV 2P 20A (A)","","個","8120","8120","6360","4.0000","4.0000","1","1760","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003573","NF32-SVF 2P 3A AL-SLT(A)","","個","2080","2080","1620","1.0000","1.0000","1","460","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003601","NF32-SVF 3P 3A AL-SLT(A)","","個","7740","7740","6030","3.0000","3.0000","1","1710","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00003757","NF63-SVF 2P 15A AL-SLT(A)","","個","27000","27000","21060","9.0000","9.0000","5","5940","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004049","NF125-SV 3P 100A AL-SLT(A)","","個","38850","38850","30350","5.0000","5.0000","2","8500","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004077","NF125-SV 3P 60A AL-SLT(A)","","個","31080","31080","24280","4.0000","4.0000","2","6800","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004081","NF125-SV 3P 75A AL-SLT(A)","","個","15540","15540","12140","2.0000","2.0000","1","3400","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004289","NF32-SV 2P 15A AL-SLT(A)","","個","2080","2080","1620","1.0000","1.0000","1","460","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004529","NF63-SV 2P 15A AL-SLT(A)","","個","30000","30000","23400","10.0000","10.0000","3","6600","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004625","NF63-SV 4P 50A AL-SLT(A)","","個","40880","40880","31920","8.0000","8.0000","4","8960","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004797","NF125-SEV 3P 100A AL-SLT(A)","","個","23020","23020","18000","2.0000","2.0000","1","5020","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00004801","NF125-SEV 3P 125A AL-SLT(A)","","個","26380","26380","20620","2.0000","2.0000","1","5760","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005489","NF250-SEV 3P 125-250A調 (A)","","個","56940","56940","44520","3.0000","3.0000","3","12420","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005492","NF250-SEV 3P 125-250A調 (U)","","個","18980","18980","14450","1.0000","1.0000","1","4530","23.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005541","NF250-SV 3P 200A (A)","","個","113400","113400","88830","9.0000","9.0000","2","24570","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005545","NF250-SV 3P 225A (A)","","個","12600","12600","9870","1.0000","1.0000","1","2730","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005561","NF250-SV 4P 150A (A)","","個","39740","39740","29600","2.0000","2.0000","1","10140","25.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00005669","NF250-SEV 3P 125-250A調 AL-SLT(A)","","個","79800","79800","62360","4.0000","4.0000","1","17440","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006209","NF400-SEW 3P 250A調 (A)","","個","30740","30740","24050","1.0000","1.0000","1","6690","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006217","NF400-SEW 3P 350A調 (A)","","個","61480","61480","48100","2.0000","2.0000","1","13380","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006221","NF400-SEW 3P 400A調 (A)","","個","61480","61480","48100","2.0000","2.0000","1","13380","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006405","NF630-SEW 3P 300A調 (A)","","個","61740","61740","48300","1.0000","1.0000","1","13440","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006417","NF630-SEW 3P 500A調 (A)","","個","123480","123480","96600","2.0000","2.0000","2","26880","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00006833","NF400-SEW 3P 300A調 AL-SLT(A)","","個","31930","31930","24970","1.0000","1.0000","1","6960","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007581","NF125-CVF 3P 100A (A)","","個","4660","4660","3660","1.0000","1.0000","1","1000","21.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007609","NF63-CVF 2P 15A (A)","","個","6160","6160","4800","4.0000","4.0000","2","1360","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007612","NF63-CVF 2P 15A (U)","","個","10000","10000","4680","4.0000","4.0000","1","5320","53.2"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007613","NF63-CVF 2P 20A (A)","","個","1540","1540","1200","1.0000","1.0000","1","340","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007653","NF63-CVF 3P 20A (A)","","個","4180","4180","3260","2.0000","2.0000","1","920","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007660","NF63-CVF 3P 30A (U)","","個","3050","3050","1590","1.0000","1.0000","1","1460","47.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007665","NF63-CVF 3P 50A (A)","","個","6270","6270","4890","3.0000","3.0000","2","1380","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007681","NF125-CV 2P 100A (A)","","個","12840","12840","10080","4.0000","4.0000","2","2760","21.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007689","NF125-CV 2P 60A (A)","","個","9630","9630","7560","3.0000","3.0000","2","2070","21.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007693","NF125-CV 2P 75A (A)","","個","6420","6420","5040","2.0000","2.0000","2","1380","21.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007701","NF125-CV 3P 100A (A)","","個","130480","130480","102480","28.0000","28.0000","12","28000","21.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007704","NF125-CV 3P 100A (U)","","個","18640","18640","17800","5.0000","5.0000","4","840","4.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007705","NF125-CV 3P 125A (A)","","個","36500","36500","28550","5.0000","5.0000","3","7950","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007708","NF125-CV 3P 125A (U)","","個","29200","29200","22240","4.0000","4.0000","1","6960","23.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007713","NF125-CV 3P 75A (A)","","個","93200","93200","73200","20.0000","20.0000","11","20000","21.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007716","NF125-CV 3P 75A (U)","","個","69900","69900","53400","15.0000","15.0000","5","16500","23.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007721","NF250-CV 2P 125A (A)","","個","6720","6720","5240","1.0000","1.0000","1","1480","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007745","NF250-CV 3P (100A) (A)","","個","18220","18220","14280","2.0000","2.0000","1","3940","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007749","NF250-CV 3P 125A (A)","","個","36440","36440","28560","4.0000","4.0000","4","7880","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007753","NF250-CV 3P 150A (A)","","個","91100","91100","71400","10.0000","10.0000","6","19700","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007756","NF250-CV 3P 150A (U)","","個","18220","18220","14100","2.0000","2.0000","2","4120","22.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007757","NF250-CV 3P 175A (A)","","個","37410","37410","28560","4.0000","4.0000","4","8850","23.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007760","NF250-CV 3P 175A (U)","","個","9110","9110","7140","1.0000","1.0000","1","1970","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007761","NF250-CV 3P 200A (A)","","個","18220","18220","14280","2.0000","2.0000","2","3940","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007764","NF250-CV 3P 200A (U)","","個","18220","18220","13920","2.0000","2.0000","2","4300","23.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007765","NF250-CV 3P 225A (A)","","個","27330","27330","21420","3.0000","3.0000","3","5910","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007773","NF30-CS 2P 10A (A)","","個","25380","25380","19818","27.0000","27.0000","3","5562","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007789","NF30-CS 2P 3A (A)","","個","263200","263200","205520","280.0000","280.0000","4","57680","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007793","NF30-CS 2P 5A (A)","","個","188000","188000","146800","200.0000","200.0000","2","41200","21.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007829","NF63-CV 2P 10A (A)","","個","1540","1540","1200","1.0000","1.0000","1","340","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007833","NF63-CV 2P 15A (A)","","個","4620","4620","3600","3.0000","3.0000","2","1020","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007836","NF63-CV 2P 15A (U)","","個","1540","1540","1170","1.0000","1.0000","1","370","24"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007837","NF63-CV 2P 20A (A)","","個","21560","21560","16800","14.0000","14.0000","7","4760","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007841","NF63-CV 2P 30A (A)","","個","16940","16940","13200","11.0000","11.0000","8","3740","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007849","NF63-CV 2P 50A (A)","","個","15400","15400","12000","10.0000","10.0000","7","3400","22.1"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007852","NF63-CV 2P 50A (U)","","個","1540","1540","1170","1.0000","1.0000","1","370","24"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007869","NF63-CV 3P 10A (A)","","個","4180","4180","3260","2.0000","2.0000","2","920","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007877","NF63-CV 3P 20A (A)","","個","4180","4180","3260","2.0000","2.0000","2","920","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007881","NF63-CV 3P 30A (A)","","個","16720","16720","13040","8.0000","8.0000","6","3680","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007885","NF63-CV 3P 40A (A)","","個","6270","6270","4890","3.0000","3.0000","2","1380","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007889","NF63-CV 3P 50A (A)","","個","56430","56430","44010","27.0000","27.0000","11","12420","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007892","NF63-CV 3P 50A (U)","","個","16720","16720","12720","8.0000","8.0000","4","4000","23.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007897","NF63-CV 3P 60A (A)","","個","5340","5340","4180","2.0000","2.0000","2","1160","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007917","NF400-CW 3P 250A (A)","","個","72450","72450","56730","3.0000","3.0000","1","15720","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007921","NF400-CW 3P 300A (A)","","個","72450","72450","56730","3.0000","3.0000","2","15720","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007929","NF400-CW 3P 400A (A)","","個","96600","96600","75640","4.0000","4.0000","1","20960","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007945","NF630-CW 3P 500A (A)","","個","99120","99120","77280","2.0000","2.0000","2","21840","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007949","NF630-CW 3P 600A (A)","","個","99120","99120","77280","2.0000","2.0000","1","21840","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00007977","NF800-CEW 3P 800A調 (A)","","個","73920","73920","57960","1.0000","1.0000","1","15960","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008017","NF125-CVF 2P 60A AL-SLT(A)","","個","100320","100320","78480","24.0000","24.0000","4","21840","21.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008037","NF125-CVF 3P 75A AL-SLT(A)","","個","6560","6560","5140","1.0000","1.0000","1","1420","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008165","NF63-CVF 2P 10A AL-SLT(A)","","個","37500","37500","29400","15.0000","15.0000","5","8100","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008169","NF63-CVF 2P 15A AL-SLT(A)","","個","20000","20000","15680","8.0000","8.0000","4","4320","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008173","NF63-CVF 2P 20A AL-SLT(A)","","個","42500","42500","33320","17.0000","17.0000","3","9180","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008177","NF63-CVF 2P 30A AL-SLT(A)","","個","5000","5000","3920","2.0000","2.0000","1","1080","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008341","NF125-CV 3P 100A AL(A)","","個","5340","5340","4180","1.0000","1.0000","1","1160","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008377","NF125-CV 3P (50A) AL-SLT(A)","","個","5630","5630","4410","1.0000","1.0000","1","1220","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008381","NF125-CV 3P 100A AL-SLT(A)","","個","50670","50670","39690","9.0000","9.0000","2","10980","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008389","NF125-CV 3P 60A AL-SLT(A)","","個","50670","50670","39690","9.0000","9.0000","2","10980","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008393","NF125-CV 3P 75A AL-SLT(A)","","個","225200","225200","176400","40.0000","40.0000","6","48800","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008429","NF125-CV 3P 60A AX-SLT(A)","","個","5570","5570","4360","1.0000","1.0000","1","1210","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008473","NF250-CV 3P 150A AL(A)","","個","9790","9790","7670","1.0000","1.0000","1","2120","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008481","NF250-CV 3P 200A AL(A)","","個","19580","19580","15340","2.0000","2.0000","1","4240","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008505","NF250-CV 2P 175A AL-SLT(A)","","個","61520","61520","48000","8.0000","8.0000","1","13520","22"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008525","NF250-CV 3P 125A AL-SLT(A)","","個","20160","20160","15780","2.0000","2.0000","1","4380","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008529","NF250-CV 3P 150A AL-SLT(A)","","個","60480","60480","47340","6.0000","6.0000","1","13140","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008533","NF250-CV 3P 175A AL-SLT(A)","","個","10080","10080","7890","1.0000","1.0000","1","2190","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008537","NF250-CV 3P 200A AL-SLT(A)","","個","50400","50400","39450","5.0000","5.0000","1","10950","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008621","NF63-CV 2P 20A AL(A)","","個","1880710","1880710","1472230","851.0000","851.0000","7","408480","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008661","NF63-CV 3P 20A AL(A)","","個","276000","276000","216000","100.0000","100.0000","4","60000","21.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008697","NF63-CV 2P 15A AL-SLT(A)","","個","7500","7500","5880","3.0000","3.0000","2","1620","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008701","NF63-CV 2P 20A AL-SLT(A)","","個","37500","37500","29400","15.0000","15.0000","3","8100","21.6"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00008705","NF63-CV 2P 30A AL-SLT(A)","","個","32500","32500","25480","13.0000","13.0000","4","7020","21.6"
